text,answer,category,difficulty
How many edges does a cube have?,12,Math,2
How many faces does a cube have?,6,Math,1
How many feet are in one mile?,5280,Math,2
How many fluid ounces are in one U.S. cup?,8,Math,2
How many hours are in one day?,24,Time,1
How many hours are in one week?,168,Math,3
How many liters are in one gallon (US)?,4,Math,2
How many millimeters are in one centimeter?,10,Math,1
How many minutes are in half an hour?,30,Math,1
How many minutes are in one day?,1440,Time,1
How many minutes are in one week?,10080,Time,2
How many months are in one year?,12,Time,1
How many months in a year have 31 days?,7,Time,2
How many nickels make one U.S. dollar?,20,Math,1
How many ounces are in one pound?,16,Math,1
How many pounds are in one ton (US short ton)?,2000,Math,2
How many quarters make one U.S. dollar?,4,Math,1
How many quarts are in one gallon (US)?,4,Math,2
How many seconds are in one hour?,3600,Time,1
How many sides does a decagon have?,10,Math,2
How many sides does a heptagon have?,7,Math,2
How many sides does a hexagon have?,6,Math,1
How many sides does a nonagon have?,9,Math,3
How many sides does a pentagon have?,5,Math,1
How many sides does an octagon have?,8,Math,1
