text,answer,category,difficulty
How many adult teeth does a typical human have (including wisdom teeth)?,32,Biology,2
How many bones are in the adult human body?,206,Biology,2
How many carbon atoms are in a benzene ring?,6,Science,3
How many chromosomes do humans have in each body cell?,46,Biology,2
How many dwarf planets are officially recognized by the IAU (approximate as of 2020s)?,5,Astronomy,3
How many dwarf planets orbit in or near the Kuiper belt (commonly listed)?,5,Astronomy,3
How many Earth days does Mercury take to orbit the Sun (nearest whole number)?,88,Astronomy,3
How many elements are on the standard periodic table?,118,Science,2
How many function keys are on a standard PC keyboard (F1 through F12)?,12,Technology,1
How many grams are in one kilogram?,1000,Science,1
How many liters of blood does an average adult human have (nearest whole)?,5,Biology,2
How many major blood types are in the ABO system (including Rh variants as groups)?,4,Biology,2
"How many megabytes are in one gigabyte (decimal, 1000-based)?",1000,Technology,2
How many miles per hour is the speed of sound at sea level (approximate)?,767,Science,3
How many milliliters are in one liter?,1000,Science,1
How many moons does Earth have?,1,Astronomy,1
How many moons does Mars have?,2,Astronomy,2
How many noble gases are there?,7,Science,2
How many pairs of chromosomes do humans have?,23,Biology,2
How many pairs of ribs do humans typically have?,12,Biology,2
How many pins are in a standard USB-A connector?,4,Technology,2
How many planets are in our solar system?,8,Astronomy,1
How many planets did Pluto get reclassified from (still counted as dwarf planet region)?,9,Astronomy,2
How many planets have rings visible from Earth (classical count)?,4,Astronomy,3
How many primary colors of light are there (additive)?,3,Science,1
