text,answer,category,difficulty
"Since 1993, Beavis and Butthead have been on MTV, Paramount+, and Comedy Central with many years off at points. How many episodes have there been across all these channels not including pilot episodes?",300,TV & pop culture,4
"According to the Smithsonian, the first verse of the Star Spangled Banner contains how many words?",80,History & culture,3
Centaurus is the constellation with the most stars of any other in the sky. How many stars does it contain?,281,Science & nature,4
"Setting the mark in 2018, competitive eater Molly Schuyler holds the record for most wings eaten in 30 minutes with how many?",501,Sports,4
How many levels high does the game of Jenga begin with?,18,Games,2
Professional wrestler John Cena holds the record in WWE for most matches on Monday Night Raw. With his retirement how many matches has he had?,544,Sports,4
How many studio albums did Prince release during his lifetime?,39,Music,3
On the Australian flag how many points are there on all the stars combined?,40,Geography,3
How many points-paying races are there in the entire season (including the playoff) of NASCAR?,36,Sports,3
How many people sailed on the maiden voyage of the Titanic?,2208,History,3
Throughout the entirety of Hanukkah how many candles are lit on the Menorah?,44,Holidays,2
The Christmas Spectacular Starring the Radio City Rockettes premiered in what year?,1933,Holidays,2
In what year was Kwanzaa first celebrated?,1966,Holidays,2
"If you were to add up all the gifts given throughout the 12 Days of Christmas, how many gifts would you have cumulatively?",364,Holidays,3
How many named storms were there in the 2025 Atlantic hurricane season after there were 18 in the 2024?,13,Current events,4
America Online was purchased by a company called Bending Spoons from Yahoo in October. What year was the company that would originally become America Online started?,1985,Technology,3
Competitive eater Joey Chestnut won the Nathan's Hot Dog Eating Contest this year with how many hot dogs and buns falling short of his record he set in 2021?,70.5,Sports,4
How many movies have been released theatrically in the Star Trek franchise?,13,Entertainment,3
"Latin for ""great charter"", the Magna Carta was signed in what year?",1215,History,3
The Nile is the longest river in the world at how many miles in length according to the Encyclopedia Britannica?,4130,Geography,3
The planet with the longest day in our solar system is Venus. What is the equivalent in Earth days to one day on Venus?,243,Science & nature,4
In what year did Nintendo's Game Boy debut in North America?,1989,Technology,2
Footballer Cristiano Ronaldo has scored the most goals for club and country in history with how many?,957,Sports,4
Of the eight crusades the first began in what year with the capture of Jerusalem?,1096,History,3
According to AviList the Global Avian Checklist how many species of birds are there?,11131,Science & nature,4
Over its 24 seasons on air how many judges have there been on American Idol (not including guest judges)?,15,TV & pop culture,3
