text,answer,category,difficulty
How many countries hosted the 2002 FIFA World Cup jointly?,2,Sports,3
How many dimples does a regulation golf ball have (approximate)?,336,Sports,3
How many downs does a team get to advance 10 yards in American football?,4,Sports,1
How many events are in a modern Olympic decathlon?,10,Sports,2
How many events are in a traditional decathlon?,10,Sports,2
How many fouls before a player fouls out in NBA basketball?,6,Sports,2
How many Grand Slam tennis tournaments are there per year?,4,Sports,2
How many holes are on a standard golf course?,18,Sports,1
How many holes are played in a standard round of golf?,18,Sports,1
How many innings are in a standard baseball game?,9,Sports,1
"How many kilometers are in one marathon (official distance, nearest whole)?",42,Sports,2
How many laps is the Indianapolis 500?,500,Sports,2
How many meters are in an Olympic swimming pool length?,50,Sports,2
How many miles is the Boston Marathon (nearest whole)?,26,Sports,2
How many minutes are in a standard NBA quarter?,12,Sports,2
How many minutes are in a standard soccer half?,45,Sports,1
How many panels make up a traditional soccer ball pattern (approximate)?,32,Sports,3
How many periods are in a standard NHL hockey game?,3,Sports,1
How many pins must you knock down for a strike in bowling?,10,Sports,1
How many players are on a baseball team on the field at once?,9,Sports,1
How many players are on a cricket team on the field?,11,Sports,2
How many players are on a lacrosse field team at once?,10,Sports,3
How many players are on a rugby union team on the field?,15,Sports,2
How many players are on a volleyball team on the court at once?,6,Sports,1
How many players are on an ice hockey team on the ice at once?,6,Sports,2
