text,answer,category,difficulty
How many arms does a squid have (including long feeding tentacles)?,10,Animals,2
How many bones are in the human foot (one foot)?,26,Biology,3
How many bones are in the human hand (one hand)?,27,Biology,3
"How many bones are in the human skull (adult, often cited)?",22,Biology,3
How many bones does a shark skeleton have (cartilage segments often cited)?,0,Animals,3
How many chambers are in a fish heart (typical)?,2,Biology,3
How many chromosomes do fruit flies have in each cell?,8,Biology,3
How many eyes does a honeybee have?,5,Animals,3
How many hearts does an octopus have?,3,Animals,2
How many horns does a rhinoceros have?,1,Animals,1
How many humps does a Bactrian camel have?,2,Animals,1
How many humps does a dromedary camel have?,1,Animals,1
"How many legs does a centipede name imply (misnomer, often cited)?",100,Animals,2
How many legs does a lobster have?,10,Animals,2
"How many legs does a millipede name imply (misnomer, often cited)?",1000,Animals,2
How many legs does a spider have?,8,Animals,1
How many legs does an insect have?,6,Animals,1
"How many liters can an adult human lung hold (total capacity, approximate)?",6,Biology,3
How many lives is a cat said to have (folklore)?,9,Animals,1
How many muscles are in the human body (often cited approximate)?,600,Biology,3
How many paws does a typical dog have?,4,Animals,1
How many ribs does a human typically have in total?,24,Biology,2
How many species of big cats are in the genus Panthera (traditional)?,4,Animals,3
How many species of penguins exist (approximate)?,18,Animals,3
How many stomach compartments does a ruminant have?,4,Animals,2
