text,answer,category,difficulty
How many symphonies did Beethoven compose?,9,Music,3
"How many taste buds does the average human tongue have (thousands, nearest thousand)?",10000,Biology,3
How many teats does a female cat typically have?,8,Animals,3
How many teeth does a great white shark typically have in multiple rows (often cited total)?,300,Animals,3
How many teeth does a typical adult dog have?,42,Animals,3
How many tiles are in a standard domino set (double-six)?,28,Games,3
How many tiles are in a standard Scrabble set (excluding blanks)?,100,Games,3
How many vertebrae are in the human spine (typical)?,33,Biology,3
How many yards are in one mile?,1760,Math,3
"In ""The Witness"", how many lasers must be activated to get into the mountain area?",7,Entertainment: Video Games,3
In what year was the first Academy Awards ceremony held?,1929,Entertainment,3
In what year was the first Super Bowl played?,1967,Sports,3
What year was the World Wide Web opened to the public?,1991,Technology,3
How many players are on the field for one soccer team?,11,Sports,1
How many players start on the court for one basketball team?,5,Sports,1
How many points is a field goal worth in American football?,3,Sports,1
How many points is a safety worth in American football?,2,Sports,2
How many points is a touchdown worth in American football?,6,Sports,1
How many primary colors of pigment are there (traditional)?,3,Science,1
How many protons does a carbon atom have?,6,Science,1
How many protons does a hydrogen atom have?,1,Science,1
How many rings are on the Olympic flag?,5,Sports,1
How many sides does a stop sign have?,8,General,1
How many stomachs does a cow have?,4,Animals,2
How many strings does a standard violin have?,4,Music,1
