text,answer,category,difficulty
At what temperature Celsius does water boil at sea level?,100,Science,1
At what temperature Celsius does water freeze?,0,Science,1
How many balls make a walk in baseball?,4,Sports,1
How many bases are on a baseball diamond including home plate?,4,Sports,1
How many beats are in a standard 4/4 measure?,4,Music,1
How many bits are in one byte?,8,Technology,1
How many books are in the Hunger Games trilogy?,3,Entertainment,1
How many cards are in a standard deck excluding jokers?,52,Games,1
How many centimeters are in one meter?,100,Math,1
How many cents are in one U.S. dollar?,100,Math,1
How many centuries are in one millennium?,10,Time,2
How many chambers does a human heart have?,4,Biology,1
How many colors are in a rainbow (traditional)?,7,Science,1
How many colors are in a standard Rubik's Cube (face count per cube)?,6,Games,1
How many colors are in the visible spectrum (traditional ROYGBIV)?,7,Science,1
How many continents are there (standard model)?,7,Geography,1
How many days are in a leap year?,366,Time,1
How many days are in a non-leap year?,365,Time,1
How many days are in two weeks?,14,Math,1
How many decades are in one century?,10,Time,1
How many degrees are in a full circle?,360,Math,1
How many degrees are in a right angle?,90,Math,1
How many degrees are in each angle of an equilateral triangle?,60,Math,2
How many dimes make one U.S. dollar?,10,Math,1
How many dots are on a pair of standard dice?,42,Games,3
