text,answer,category,difficulty
How many Academy Awards (Oscars) categories are presented at the main annual ceremony (approximate traditional count)?,24,Entertainment,3
How many black keys are on a standard piano octave (within one octave)?,5,Music,3
How many books are in the New Testament (Protestant canon)?,27,Literature,3
How many books are in the Old Testament (Protestant canon)?,39,Literature,3
How many Brontë sisters were published novelists?,3,Literature,3
How many dwarfs appear in the classic Snow White fairy tale?,7,Entertainment,1
How many episodes are in the first season of Breaking Bad?,7,Entertainment,3
How many episodes are in the first season of Stranger Things?,8,Entertainment,3
How many faces does a standard die have?,6,Games,1
How many films are in the original Star Wars trilogy?,3,Entertainment,1
How many Harry Potter books are in the main series?,7,Entertainment,1
How many Infinity Stones appear in the Marvel Cinematic Universe?,6,Entertainment,2
How many keys does a standard piano have?,88,Music,2
How many knights sit at King Arthur's Round Table (traditional count)?,150,Literature,3
How many lines does a standard musical staff have?,5,Music,1
How many Lord of the Rings volumes are in the main trilogy?,3,Literature,1
How many musketeers are in the title of Dumas's novel (not counting d'Artagnan)?,3,Literature,2
How many numbers are on a standard bingo card row (US)?,5,Games,2
How many pieces does each player start with in chess?,16,Games,2
How many rings of power were given to the race of Men in Tolkien's lore?,9,Entertainment,3
How many seasons of Friends were produced?,10,Entertainment,2
How many seasons of The Office (U.S.) were produced?,9,Entertainment,2
How many sonnets did Shakespeare publish?,154,Literature,3
How many spaces are on a Monopoly board (including corners)?,40,Games,2
How many squares are on a checkerboard?,64,Games,1
