text,answer,category,difficulty
How many boroughs are in New York City?,5,Geography,2
How many countries are in South America?,12,Geography,2
How many countries are in the G7 (as of 2020s)?,7,Geography,2
How many countries are in the United Kingdom?,4,Geography,2
How many countries share the island of Hispaniola?,2,Geography,2
"How many districts are in Washington, D.C. (quadrants)?",4,Geography,2
How many emirates make up the United Arab Emirates?,7,Geography,2
How many Great Lakes are there?,5,Geography,1
How many islands make up Hawaii (main inhabited islands)?,8,Geography,2
How many official languages does Switzerland have?,4,Geography,2
How many permanent members are on the UN Security Council?,5,Geography,2
How many provinces and territories does Canada have in total?,13,Geography,2
How many provinces does Canada have?,10,Geography,2
How many stars are on the flag of the European Union?,12,Geography,2
How many stars were on the U.S. flag after Hawaii joined (1959)?,50,Geography,2
How many states does Australia have?,6,Geography,2
How many stripes are on the U.S. flag?,13,Geography,1
How many time zones does Australia have (approximate)?,3,Geography,2
How many time zones does the continental United States span?,4,Geography,2
How many U.S. states are there?,50,Geography,1
How many protons does a helium atom have?,2,Science,1
How many protons does an oxygen atom have?,8,Science,1
How many sets are needed to win a standard men's Wimbledon match (minimum)?,3,Sports,2
How many squares are on a chessboard?,64,Games,1
How many strikes make an out in baseball?,3,Sports,1
