text,answer,category,difficulty
How many arrondissements does Paris have?,20,Geography,3
How many capitals does South Africa have?,3,Geography,3
"How many countries are in Africa (UN member states on continent, approximate)?",54,Geography,3
"How many countries are in North America (UN members, approximate)?",23,Geography,3
"How many countries are in the European Union (2020, nearest before Brexit completion)?",27,Geography,3
How many countries are in the NATO alliance (approximate 2024)?,32,Geography,3
How many countries are in the United Nations (2024)?,193,Geography,3
How many countries are landlocked in Europe (approximate)?,16,Geography,3
How many countries border China?,14,Geography,3
How many countries border Germany?,9,Geography,3
How many countries does the equator pass through (approximate)?,13,Geography,3
How many countries does the Prime Meridian pass through (approximate)?,8,Geography,3
How many countries share a land border with France (mainland)?,8,Geography,3
How many feet are in the height of the Statue of Liberty from ground to torch (approximate)?,305,Geography,3
How many Great Walls of China lengths in miles (often cited approximate)?,5500,Geography,3
How many meters tall is the Eiffel Tower (approximate)?,330,Geography,3
How many miles long is the Amazon River (approximate)?,4000,Geography,3
How many official languages does South Africa recognize?,11,Geography,3
How many steps are in the Eiffel Tower to the top (approximate)?,1665,Geography,3
How many time zones does Canada span?,6,Geography,3
How many time zones does Russia span (approximate)?,11,Geography,3
What is the height of Mount Everest in meters (2020 survey)?,8849,Geography,3
How many sets are played in a standard professional tennis match (minimum to win)?,3,Sports,2
"How many states of matter are commonly taught in basic science (solid, liquid, gas, plasma)?",4,Science,1
How many strings does a standard guitar have?,6,Music,1
