text,answer,category,difficulty
How many amendments are in the U.S. Bill of Rights?,10,History,2
How many amendments does the U.S. Constitution have?,27,History,3
How many colonies formed the original United States?,13,History,2
How many colonies originally signed the U.S. Declaration of Independence?,13,History,2
How many electoral votes does California have (2020 census apportionment)?,54,History,3
How many justices sit on the U.S. Supreme Court (traditional)?,9,History,2
How many Pilgrims sailed on the Mayflower (approximate)?,102,History,3
How many presidents are carved on Mount Rushmore?,4,History,1
How many senators represent each U.S. state?,2,History,1
How many voting members are in the U.S. House of Representatives (fixed cap)?,435,History,3
How many wives did Henry VIII have executed?,2,History,3
How many years did Queen Victoria reign (rounded to nearest whole year)?,63,History,3
How many years did the Hundred Years' War last (approximate)?,116,History,3
In what year did the Great Fire of London occur?,1666,History,3
In what year did the Magna Carta first get sealed?,1215,History,3
In what year did the Wright brothers make their first powered flight?,1903,History,2
In what year was the United States Declaration of Independence signed?,1776,History,1
What year did Apollo 11 land on the Moon?,1969,History,2
What year did India gain independence from Britain?,1947,History,2
What year did Nelson Mandela become president of South Africa?,1994,History,3
What year did the American Civil War begin?,1861,History,3
What year did the Berlin Wall fall?,1989,History,2
What year did the first manned Moon landing occur?,1969,History,1
What year did the French Revolution begin?,1789,History,2
What year did the Titanic sink?,1912,History,1
